Date,sp500,att,msoft
01/10/2015,1951.359985,32.639999,45.57
01/09/2015,1920.030029,32.580002,44.259998
03/08/2015,1972.180054,33.200001,43.52
01/07/2015,2103.840088,34.740002,46.700001
01/06/2015,2063.110107,35.52,44.150002
01/05/2015,2107.389893,34.540001,46.860001
01/04/2015,2085.51001,34.639999,48.639999
02/03/2015,2067.889893,32.650002,40.66
02/02/2015,2104.5,34.560001,43.849998
02/01/2015,1994.98999,32.919998,40.400002
01/12/2014,2058.899902,33.59,46.450001
03/11/2014,2067.560059,35.380001,47.810001
01/10/2014,2018.050049,34.84,46.950001
02/09/2014,1972.290039,35.240002,46.360001
01/08/2014,2003.369995,34.959999,45.43
01/07/2014,1930.670044,35.59,43.16
02/06/2014,1960.22998,35.360001,41.700001
01/05/2014,1923.569946,35.470001,40.939999
01/04/2014,1883.949951,35.700001,40.400002
03/03/2014,1872.339966,35.07,40.990002
03/02/2014,1859.449951,31.93,38.310001
02/01/2014,1782.589966,33.32,37.84
02/12/2013,1848.359985,35.16,37.41
01/11/2013,1805.810059,35.209999,38.130001
01/10/2013,1756.540039,36.200001,35.41
03/09/2013,1681.550049,33.82,33.279999
01/08/2013,1632.969971,33.830002,33.400002
01/07/2013,1685.72998,35.27,31.84
03/06/2013,1606.280029,35.400002,34.540001
01/05/2013,1630.73999,34.990002,34.900002
01/04/2013,1597.569946,37.459999,33.099998
01/03/2013,1569.189941,36.689999,28.610001
01/02/2013,1514.680054,35.91,27.799999
02/01/2013,1498.109985,34.790001,27.450001
03/12/2012,1426.189941,33.709999,26.709999
01/11/2012,1416.180054,34.130001,26.620001
01/10/2012,1412.160034,34.59,28.540001
04/09/2012,1440.670044,37.700001,29.76
01/08/2012,1406.579956,36.639999,30.82
02/07/2012,1379.319946,37.919998,29.469999
01/06/2012,1362.160034,35.66,30.59
01/05/2012,1310.329956,34.169998,29.190001
02/04/2012,1397.910034,32.91,32.02
01/03/2012,1408.469971,31.23,32.259998
01/02/2012,1365.680054,30.59,31.74
03/01/2012,1312.410034,29.41,29.530001
01/12/2011,1257.599976,30.24,25.959999
01/11/2011,1246.959961,28.98,25.58
03/10/2011,1253.300049,29.309999,26.629999
01/09/2011,1131.420044,28.52,24.889999
01/08/2011,1218.890015,28.48,26.6
01/07/2011,1292.280029,29.26,27.4
01/06/2011,1320.640015,31.41,26
02/05/2011,1345.199951,31.559999,25.01
01/04/2011,1363.609985,31.120001,25.92
01/03/2011,1325.829956,30.610001,25.389999
01/02/2011,1327.219971,28.379999,26.58
03/01/2011,1286.119995,27.52,27.73
01/12/2010,1257.640015,29.379999,27.91
01/11/2010,1180.550049,27.790001,25.26
01/10/2010,1183.26001,28.52,26.67
01/09/2010,1141.199951,28.6,24.49
02/08/2010,1049.329956,27.030001,23.469999
01/07/2010,1101.599976,25.940001,25.809999
01/06/2010,1030.709961,24.190001,23.01
03/05/2010,1089.410034,24.299999,25.799999
01/04/2010,1186.689941,26.059999,30.540001
01/03/2010,1169.430054,25.84,29.290001
01/02/2010,1104.48999,24.809999,28.67
04/01/2010,1073.869995,25.360001,28.18
01/12/2009,1115.099976,28.030001,30.48
02/11/2009,1095.630005,26.940001,29.41
01/10/2009,1036.189941,25.67,27.73
01/09/2009,1057.079956,27.01,25.719999
03/08/2009,1020.619995,26.049999,24.65
01/07/2009,987.47998,26.23,23.52
01/06/2009,919.320007,24.84,23.77
01/05/2009,919.140015,24.790001,20.889999
01/04/2009,872.809998,25.620001,20.26
02/03/2009,797.869995,25.200001,18.370001
02/02/2009,735.090027,23.77,16.15
02/01/2009,825.880005,24.620001,17.1
01/12/2008,903.25,28.5,19.440001
03/11/2008,896.23999,28.559999,20.219999
01/10/2008,968.75,26.77,22.33
02/09/2008,1166.359985,27.92,26.690001
01/08/2008,1282.829956,31.99,27.290001
01/07/2008,1267.380005,30.809999,25.719999
02/06/2008,1280,33.689999,27.51
01/05/2008,1400.380005,39.900002,28.32
01/04/2008,1385.589966,38.709999,28.52
03/03/2008,1322.699951,38.299999,28.379999
01/02/2008,1330.630005,34.830002,27.200001
02/01/2008,1378.550049,38.490002,32.599998
03/12/2007,1468.359985,41.560001,35.599998
01/11/2007,1481.140015,38.209999,33.599998
01/10/2007,1549.380005,41.790001,36.810001
04/09/2007,1526.75,42.310001,29.459999
01/08/2007,1473.98999,39.869999,28.73
02/07/2007,1455.27002,39.16,28.99
01/06/2007,1503.349976,41.5,29.469999
01/05/2007,1530.619995,41.34,30.690001
02/04/2007,1482.369995,38.720001,29.940001
01/03/2007,1420.859985,39.43,27.870001
01/02/2007,1406.819946,36.799999,28.17
03/01/2007,1438.23999,37.630001,30.860001
01/12/2006,1418.300049,35.75,29.860001
01/11/2006,1400.630005,33.91,29.360001
02/10/2006,1377.939941,34.25,28.709999
01/09/2006,1335.849976,32.560001,27.35
01/08/2006,1303.819946,31.129999,25.700001
03/07/2006,1276.660034,29.99,24.059999
01/06/2006,1270.199951,27.889999,23.299999
01/05/2006,1270.089966,26.059999,22.65
03/04/2006,1310.609985,26.209999,24.15
01/03/2006,1294.869995,27.040001,27.209999
01/02/2006,1280.660034,27.59,26.870001
03/01/2006,1280.079956,25.950001,28.15
01/12/2005,1248.290039,24.49,26.15
01/11/2005,1249.47998,24.91,27.68
05/10/2005,1207.01001,23.85,25.700001
